"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Регистрация не выполняется, если обязательные поля (логин или пароль) оставлены пустыми.","357","Ошибка регистрации при пустых обязательных полях","tests","Wed Mar 19 20:43:21 CET 2025","passed","Wed Mar 19 20:43:21 CET 2025","TestCourierCreation","test_create_courier","",""
"Регистрация не выполняется, если обязательные поля (логин или пароль) оставлены пустыми.","371","Ошибка регистрации при пустых обязательных полях","tests","Wed Mar 19 20:43:20 CET 2025","passed","Wed Mar 19 20:43:21 CET 2025","TestCourierCreation","test_create_courier","",""
"Зарегистрированный курьер может успешно войти в систему и получает корректный ID.","339","Успешный вход курьера","tests","Wed Mar 19 20:43:17 CET 2025","passed","Wed Mar 19 20:43:17 CET 2025","TestCourierLogin","test_courier_login","",""
"API успешно возвращает список заказов.","1000","Получение списка заказов","tests","Wed Mar 19 20:43:22 CET 2025","passed","Wed Mar 19 20:43:23 CET 2025","TestOrders","test_create_order","",""
"Создание заказа с разными вариантами цвета.","371","Создание заказа","tests","Wed Mar 19 20:43:22 CET 2025","passed","Wed Mar 19 20:43:22 CET 2025","TestOrders","test_create_order","",""
"Создание заказа с разными вариантами цвета.","360","Создание заказа","tests","Wed Mar 19 20:43:21 CET 2025","passed","Wed Mar 19 20:43:21 CET 2025","TestOrders","test_create_order","",""
"Вход не выполняется, если обязательные поля (логин или пароль) оставлены пустыми.","346","Ошибка входа при пустых обязательных полях","tests","Wed Mar 19 20:43:18 CET 2025","passed","Wed Mar 19 20:43:18 CET 2025","TestCourierLogin","test_courier_login","",""
"Курьер успешно создается, и API возвращает корректный статус и сообщение.","354","Создание курьера","tests","Wed Mar 19 20:43:19 CET 2025","passed","Wed Mar 19 20:43:19 CET 2025","TestCourierCreation","test_create_courier","",""
"Повторное создание курьера с теми же данными вызывает ошибку конфликта.","356","Ошибка создания дубликата курьера","tests","Wed Mar 19 20:43:20 CET 2025","passed","Wed Mar 19 20:43:20 CET 2025","TestCourierCreation","test_create_courier","",""
"Вход не выполняется, если обязательные поля (логин или пароль) оставлены пустыми.","362","Ошибка входа при пустых обязательных полях","tests","Wed Mar 19 20:43:17 CET 2025","passed","Wed Mar 19 20:43:18 CET 2025","TestCourierLogin","test_courier_login","",""
"Создание заказа с разными вариантами цвета.","359","Создание заказа","tests","Wed Mar 19 20:43:22 CET 2025","passed","Wed Mar 19 20:43:22 CET 2025","TestOrders","test_create_order","",""
"Создание заказа с разными вариантами цвета.","328","Создание заказа","tests","Wed Mar 19 20:43:21 CET 2025","passed","Wed Mar 19 20:43:22 CET 2025","TestOrders","test_create_order","",""
"Вход не выполняется при использовании данных несуществующего курьера.","360","Ошибка входа при попытке авторизации несуществующего курьера","tests","Wed Mar 19 20:43:19 CET 2025","passed","Wed Mar 19 20:43:19 CET 2025","TestCourierLogin","test_courier_login","",""
